name,description,url
Acne Studios,Low-top leather sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/28/P00882163.jpg
Acne Studios,Perey Cities leather sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/bf/P00880726.jpg
Brunello Cucinelli,Suede longwing brogues,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/94/P00895833.jpg
Sacai,Leather platform Derby shoes,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/ec/P00892651.jpg
Tom Ford,Cambridge suede sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/79/P00885387.jpg
Lemaire,Leather slippers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/e0/P00883786.jpg
Valentino Garavani,Rockstud Essential leather loafers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/5d/P00882635.jpg
Tom Ford,Barnes suede espadrilles,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/21/P00885620.jpg
Tom Ford,James suede sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/21/P00885606.jpg
Valentino Garavani,Upvillage suede sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/91/P00882406.jpg
Tom Ford,Preston T Icon leather sandals,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/04/P00885439.jpg
Thom Browne,Leather-trimmed sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/c1/P00876130.jpg
Brunello Cucinelli,Leather-trimmed knit sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/96/P00895777.jpg
Tom Ford,Harris logo velvet slides,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/30/P00885617.jpg
Brunello Cucinelli,Suede loafers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/2d/P00895782.jpg
Brunello Cucinelli,Urban suede sandals,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/39/P00895773.jpg
Balenciaga,Steroid combat boots,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/85/P00888847.jpg
Brunello Cucinelli,Suede penny loafers ,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/e6/P00895774.jpg
Brunello Cucinelli,Suede Derby shoes,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/3b/P00895772.jpg
Tom Ford,Cambridge suede sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/a9/P00885616.jpg
Tom Ford,Robert leather Chelsea boots ,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/bf/P00885651.jpg
Valentino Garavani,Freedots leather low-top sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/ce/P00882401.jpg
The Row,Roger suede slides,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/ab/P00835958.jpg
Valentino Garavani,Freedots leather low-top sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/d9/P00882395.jpg
Thom Browne,Longwing leather derby shoes,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/c9/P00876129.jpg
Valentino Garavani,Rockrunner leather-trimmed suede sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/11/P00882560.jpg
Valentino Garavani,Rockstud Untitled leather sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/1f/P00882630.jpg
